State,County,MCO Name,Service Category,Number of Active Patients,Number of Eligible MCO Patients,Number of Providers,Percent Of Eligible Patients Receiving Services,Number of Services per Active Patient,Number of Active Patients per Provider,Calendar Year,Plan Category
Arizona,Apache,United Healthcare,Behavioral Health,*,*,11,0.104651163,6.888888889,*,2020,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,*,*,8,0.305555556,8.590909091,*,2020,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,7,0.058823529,1,*,2020,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,67,107,17,0.626168224,371.0746269,4:01,2020,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,*,*,10,0.157894737,9.666666667,*,2020,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,87,"1,123",14,0.07747106,24.98850575,7:01,2020,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,1,0,,*,2020,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,251,"9,144",14,0.027449694,35.56175299,18:01,2020,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,2,0,,*,2020,Comprehensive MCO
Arizona,Apache,Cenpatico,Behavioral Health,*,*,0,0,,*,2021,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,124,216,15,0.574074074,343.7177419,9:01,2021,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,367,"14,049",15,0.026122856,21.26430518,25:01:00,2021,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,11,0.103448276,6.333333333,*,2021,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,*,*,11,0.071428571,16.33333333,*,2021,Comprehensive MCO
Arizona,Apache,United Healthcare,Behavioral Health,*,*,12,0.085470085,14.5,*,2021,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,6,0.461538462,94.16666667,*,2021,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,123,"1,586",16,0.077553594,24.48780488,8:01,2021,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,*,*,11,0.350364964,7.0625,*,2021,Comprehensive MCO
Arizona,Apache,Phoenix Hp,Behavioral Health,*,*,0,0,,*,2021,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,5,0,,*,2021,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,126,224,19,0.5625,331.8492063,7:01,2022,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,5,0,,*,2022,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,253,"16,066",14,0.015747541,21.97628458,19:01,2022,Comprehensive MCO
Arizona,Apache,United Healthcare,Behavioral Health,*,*,15,0.15,19.8,*,2022,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,18,79,15,0.227848101,20.61111111,2:01,2022,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,9,0.108108108,2.5,*,2022,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,66,238,13,0.277310924,10.34848485,6:01,2022,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,392,"17,679",19,0.0221732,18.02806122,21:01,2022,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,8,0.45,101.5555556,*,2022,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,10,0.818181818,75.11111111,*,2023,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,465,"22,914",20,0.02029327,32.84301075,24:01:00,2023,Comprehensive MCO
Arizona,Apache,United Healthcare,Behavioral Health,*,*,18,0.099099099,6.727272727,*,2023,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,379,"4,072",18,0.093074656,31.22163588,22:01,2023,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,121,395,14,0.306329114,11.9338843,9:01,2023,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,4,0.090909091,25,*,2023,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,13,0.171428571,4.833333333,*,2023,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,29,101,16,0.287128713,26.20689655,2:01,2023,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,137,241,16,0.56846473,269.2846715,9:01,2023,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,577,"5,039",15,0.114506847,66.62911612,39:01:00,2024,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,331,"32,843",21,0.010078251,15.85800604,16:01,2024,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,150,262,14,0.572519084,269.14,11:01,2024,Comprehensive MCO
Arizona,Apache,United Healthcare,Behavioral Health,18,139,16,0.129496403,10.27777778,2:01,2024,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,17,0.142857143,44.1,*,2024,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,141,913,19,0.154435926,20.92907801,8:01,2024,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,546,"35,867",15,0.015222907,23.62820513,37:01:00,2024,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,5,0,,*,2024,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,10,0.6,26.83333333,*,2024,Comprehensive MCO
Arizona,Cochise,Banner University Family Care,Behavioral Health,"1,299","12,462",170,0.10423688,32.81062356,8:01,2020,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,Behavioral Health,*,*,3,0.025316456,1,*,2020,Comprehensive MCO
Arizona,Cochise,Bridgeway Health Solution,Behavioral Health,*,*,0,0,,*,2020,Comprehensive MCO
Arizona,Cochise,Az Complete Health,Behavioral Health,"1,560","10,495",184,0.148642211,36.46923077,9:01,2020,Comprehensive MCO
Arizona,Cochise,Mercy Care,Behavioral Health,*,*,126,0.291666667,26.9047619,*,2020,Comprehensive MCO
Arizona,Cochise,Ltc Dd Des,Behavioral Health,220,293,181,0.750853242,281.3454545,2:01,2020,Comprehensive MCO
Arizona,Cochise,Health Choice Arizona,Behavioral Health,*,*,99,0.2,16,*,2020,Comprehensive MCO
Arizona,Cochise,United Healthcare,Behavioral Health,14,91,148,0.153846154,13.21428571,1:11,2020,Comprehensive MCO
Arizona,Cochise,Care1st,Behavioral Health,*,*,81,0,,*,2020,Comprehensive MCO
Arizona,Cochise,Cenpatico,Behavioral Health,*,*,0,0,,*,2020,Comprehensive MCO
Arizona,Cochise,Molina,Behavioral Health,*,*,62,0,,*,2020,Comprehensive MCO
Arizona,Cochise,Care1st,Behavioral Health,*,*,78,0.12,48,*,2021,Comprehensive MCO
Arizona,Cochise,Az Complete Health,Behavioral Health,"1,911","12,862",184,0.148577204,32.11302983,11:01,2021,Comprehensive MCO
Arizona,Cochise,Bridgeway Health Solution,Behavioral Health,*,*,0,0,,*,2021,Comprehensive MCO
Arizona,Cochise,Phoenix Hp,Behavioral Health,*,*,0,0,,*,2021,Comprehensive MCO
Arizona,Cochise,Molina,Behavioral Health,*,*,66,0.111111111,175,*,2021,Comprehensive MCO
Arizona,Cochise,United Healthcare,Behavioral Health,*,*,161,0.077464789,25.54545455,*,2021,Comprehensive MCO
Arizona,Cochise,Mercy Care,Behavioral Health,35,74,121,0.472972973,11.51428571,1:04,2021,Comprehensive MCO
Arizona,Cochise,Ltc Dd Des,Behavioral Health,263,368,172,0.714673913,328.8859316,2:01,2021,Comprehensive MCO
Arizona,Cochise,Banner University Family Care,Behavioral Health,"1,536","14,426",177,0.106474421,31.91210938,9:01,2021,Comprehensive MCO
Arizona,Cochise,Health Choice Arizona,Behavioral Health,*,*,110,0.109375,3.714285714,*,2021,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,Behavioral Health,35,69,65,0.507246377,39.02857143,1:02,2021,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,Behavioral Health,58,111,76,0.522522523,68.70689655,1:02,2022,Comprehensive MCO
Arizona,Cochise,Az Complete Health,Behavioral Health,"2,412","16,186",203,0.14901767,31.51409619,12:01,2022,Comprehensive MCO
Arizona,Cochise,United Healthcare,Behavioral Health,21,172,169,0.122093023,28.14285714,1:09,2022,Comprehensive MCO
Arizona,Cochise,Health Choice Arizona,Behavioral Health,*,*,90,0.176470588,17.16666667,*,2022,Comprehensive MCO
Arizona,Cochise,Bridgeway Health Solution,Behavioral Health,*,*,0,0,,*,2022,Comprehensive MCO
Arizona,Cochise,Ltc Dd Des,Behavioral Health,291,430,191,0.676744186,327.4604811,2:01,2022,Comprehensive MCO
Arizona,Cochise,Molina,Behavioral Health,*,*,50,0.2,8.333333333,*,2022,Comprehensive MCO
Arizona,Cochise,Banner University Family Care,Behavioral Health,"2,011","17,402",187,0.11556143,34.84286425,11:01,2022,Comprehensive MCO
Arizona,Cochise,Care1st,Behavioral Health,*,*,67,0.142857143,1.833333333,*,2022,Comprehensive MCO
Arizona,Cochise,Mercy Care,Behavioral Health,63,142,133,0.443661972,18.42857143,1:03,2022,Comprehensive MCO
Arizona,Cochise,Care1st,Behavioral Health,*,*,73,0.253968254,7.75,*,2023,Comprehensive MCO
Arizona,Cochise,Az Complete Health,Behavioral Health,"3,241","20,576",212,0.157513608,33.68373959,16:01,2023,Comprehensive MCO
Arizona,Cochise,Molina,Behavioral Health,*,*,55,0,,*,2023,Comprehensive MCO
Arizona,Cochise,Mercy Care,Behavioral Health,80,175,137,0.457142857,15.4625,1:02,2023,Comprehensive MCO
Arizona,Cochise,United Healthcare,Behavioral Health,26,220,175,0.118181818,21.96153846,1:07,2023,Comprehensive MCO
Arizona,Cochise,Ltc Dd Des,Behavioral Health,346,502,157,0.689243028,293.4479769,3:01,2023,Comprehensive MCO
Arizona,Cochise,Health Choice Arizona,Behavioral Health,*,*,94,0.04109589,6.333333333,*,2023,Comprehensive MCO
Arizona,Cochise,Banner University Family Care,Behavioral Health,"2,590","21,133",202,0.122557138,40.48146718,13:01,2023,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,Behavioral Health,108,190,78,0.568421053,54.43518519,2:01,2023,Comprehensive MCO
Arizona,Cochise,Banner University Family Care,Behavioral Health,"3,354","23,085",195,0.145289149,42.19707812,18:01,2024,Comprehensive MCO
Arizona,Cochise,Az Complete Health,Behavioral Health,"4,019","45,831",214,0.087691737,34.39338144,19:01,2024,Comprehensive MCO
Arizona,Cochise,Molina,Behavioral Health,*,*,59,0,,*,2024,Comprehensive MCO
Arizona,Cochise,Mercy Care,Behavioral Health,99,672,143,0.147321429,16.4040404,1:02,2024,Comprehensive MCO
Arizona,Cochise,United Healthcare,Behavioral Health,44,271,156,0.162361624,33.04545455,1:04,2024,Comprehensive MCO
Arizona,Cochise,Health Choice Arizona,Behavioral Health,*,*,85,0.12244898,28.5,*,2024,Comprehensive MCO
Arizona,Cochise,Ltc Dd Des,Behavioral Health,408,590,146,0.691525424,243.8112745,3:01,2024,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,Behavioral Health,177,312,70,0.567307692,54.92655367,3:01,2024,Comprehensive MCO
Arizona,Cochise,Care1st,Behavioral Health,*,*,55,0.080357143,9.444444444,*,2024,Comprehensive MCO
Arizona,Coconino,Ltc Dd Des,Behavioral Health,177,291,132,0.608247423,195.7740113,2:01,2020,Comprehensive MCO
Arizona,Coconino,United Healthcare,Behavioral Health,30,240,102,0.125,16.3,1:04,2020,Comprehensive MCO
Arizona,Coconino,Banner University Family Care,Behavioral Health,*,*,69,0.14893617,20.85714286,*,2020,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,Behavioral Health,*,*,2,0.024096386,3,*,2020,Comprehensive MCO
Arizona,Coconino,Care1st,Behavioral Health,567,"5,397",115,0.105058366,39.49029982,5:01,2020,Comprehensive MCO
Arizona,Coconino,Health Choice Arizona,Behavioral Health,"1,157","11,033",124,0.104867217,40.60501296,10:01,2020,Comprehensive MCO
Arizona,Coconino,Az Complete Health,Behavioral Health,*,*,94,0.304347826,17.42857143,*,2020,Comprehensive MCO
Arizona,Coconino,Molina,Behavioral Health,*,*,49,0.2,3.5,*,2020,Comprehensive MCO
Arizona,Coconino,Mercy Care,Behavioral Health,34,127,84,0.267716535,18.58823529,1:03,2020,Comprehensive MCO
Arizona,Coconino,Ltc Dd Des,Behavioral Health,227,386,142,0.588082902,239.8722467,2:01,2021,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,Behavioral Health,19,61,62,0.31147541,47.15789474,1:04,2021,Comprehensive MCO
Arizona,Coconino,Health Choice Arizona,Behavioral Health,"1,421","14,591",138,0.097388801,37.71921182,11:01,2021,Comprehensive MCO
Arizona,Coconino,Cenpatico,Behavioral Health,*,*,0,0,,*,2021,Comprehensive MCO
Arizona,Coconino,Banner University Family Care,Behavioral Health,*,*,73,0.027027027,8,*,2021,Comprehensive MCO
Arizona,Coconino,Molina,Behavioral Health,*,*,49,0.090909091,8,*,2021,Comprehensive MCO
Arizona,Coconino,Care1st,Behavioral Health,751,"6,532",120,0.114972443,35.0159787,7:01,2021,Comprehensive MCO
Arizona,Coconino,Az Complete Health,Behavioral Health,*,*,103,0.203125,7.538461538,*,2021,Comprehensive MCO
Arizona,Coconino,United Healthcare,Behavioral Health,41,297,105,0.138047138,17.53658537,1:03,2021,Comprehensive MCO
Arizona,Coconino,Mercy Care,Behavioral Health,118,183,94,0.644808743,6.415254237,2:01,2021,Comprehensive MCO
Arizona,Coconino,Ltc Dd Des,Behavioral Health,265,443,164,0.598194131,237.0113208,2:01,2022,Comprehensive MCO
Arizona,Coconino,Health Choice Arizona,Behavioral Health,"1,695","18,484",139,0.091700931,30.76519174,13:01,2022,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,Behavioral Health,41,90,68,0.455555556,37.92682927,1:02,2022,Comprehensive MCO
Arizona,Coconino,Care1st,Behavioral Health,"1,256","15,744",125,0.079776423,24.22452229,11:01,2022,Comprehensive MCO
Arizona,Coconino,Banner University Family Care,Behavioral Health,*,*,85,0.155844156,29.66666667,*,2022,Comprehensive MCO
Arizona,Coconino,Az Complete Health,Behavioral Health,31,132,115,0.234848485,17.96774194,1:04,2022,Comprehensive MCO
Arizona,Coconino,Children's Rehabilitative Services (Crs),Behavioral Health,*,*,0,0,,*,2022,Comprehensive MCO
Arizona,Coconino,United Healthcare,Behavioral Health,55,318,114,0.172955975,8.290909091,1:03,2022,Comprehensive MCO
Arizona,Coconino,Molina,Behavioral Health,*,*,46,0.210526316,4.25,*,2022,Comprehensive MCO
Arizona,Coconino,Mercy Care,Behavioral Health,151,287,102,0.526132404,9.761589404,2:01,2022,Comprehensive MCO
Arizona,Coconino,Molina,Behavioral Health,*,*,41,0.173913043,15.25,*,2023,Comprehensive MCO
Arizona,Coconino,Health Choice Arizona,Behavioral Health,"1,442","13,095",126,0.110118366,31.44174757,12:01,2023,Comprehensive MCO
Arizona,Coconino,Care1st,Behavioral Health,"2,004","21,442",111,0.093461431,34.25299401,19:01,2023,Comprehensive MCO
Arizona,Coconino,Banner University Family Care,Behavioral Health,*,*,95,0.11627907,22,*,2023,Comprehensive MCO
Arizona,Coconino,Az Complete Health,Behavioral Health,*,*,120,0.313953488,15.24074074,*,2023,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,Behavioral Health,79,138,54,0.572463768,48.26582278,2:01,2023,Comprehensive MCO
Arizona,Coconino,United Healthcare,Behavioral Health,62,379,126,0.163588391,9.532258065,1:03,2023,Comprehensive MCO
Arizona,Coconino,Mercy Care,Behavioral Health,172,426,99,0.403755869,9.912790698,2:01,2023,Comprehensive MCO
Arizona,Coconino,Ltc Dd Des,Behavioral Health,288,497,148,0.579476861,204.4791667,2:01,2023,Comprehensive MCO
Arizona,Coconino,Health Choice Arizona,Behavioral Health,"1,776","14,515",118,0.122356183,36.44707207,16:01,2024,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,Behavioral Health,127,201,44,0.631840796,66.15748031,3:01,2024,Comprehensive MCO
Arizona,Coconino,Care1st,Behavioral Health,"2,362","38,823",103,0.060840224,33.59695174,23:01,2024,Comprehensive MCO
Arizona,Coconino,Az Complete Health,Behavioral Health,"1,419","34,705",146,0.04088748,14.65186751,10:01,2024,Comprehensive MCO
Arizona,Coconino,Banner University Family Care,Behavioral Health,*,*,92,0.125984252,11.25,*,2024,Comprehensive MCO
Arizona,Coconino,United Healthcare,Behavioral Health,64,435,104,0.147126437,14.671875,1:02,2024,Comprehensive MCO
Arizona,Coconino,Mercy Care,Behavioral Health,234,"1,246",93,0.187800963,12.28205128,3:01,2024,Comprehensive MCO
Arizona,Coconino,Molina,Behavioral Health,*,*,34,0.08,5,*,2024,Comprehensive MCO
Arizona,Coconino,Ltc Dd Des,Behavioral Health,358,571,147,0.626970228,198.8100559,3:01,2024,Comprehensive MCO
Arizona,Gila,Molina,Behavioral Health,*,*,59,0.139455782,15.14634146,*,2020,Comprehensive MCO
Arizona,Gila,United Healthcare,Behavioral Health,58,341,86,0.170087977,27.94827586,1:02,2020,Comprehensive MCO
Arizona,Gila,Mercy Care,Behavioral Health,79,266,80,0.296992481,31.16455696,1:02,2020,Comprehensive MCO
Arizona,Gila,Ltc Dd Des,Behavioral Health,70,105,72,0.666666667,304.1,1:02,2020,Comprehensive MCO
Arizona,Gila,Health Choice Arizona,Behavioral Health,488,"3,109",81,0.156963654,43.70286885,7:01,2020,Comprehensive MCO
Arizona,Gila,Dcs/Chp,Behavioral Health,*,*,3,0,,*,2020,Comprehensive MCO
Arizona,Gila,Care1st,Behavioral Health,*,*,71,0.112676056,98.375,*,2020,Comprehensive MCO
Arizona,Gila,Banner University Family Care,Behavioral Health,251,"2,579",76,0.097324544,39.4063745,4:01,2020,Comprehensive MCO
Arizona,Gila,Az Complete Health,Behavioral Health,55,375,81,0.146666667,22.58181818,1:02,2020,Comprehensive MCO
Arizona,Gila,United Healthcare,Behavioral Health,68,559,81,0.121645796,30.36764706,1:02,2021,Comprehensive MCO
Arizona,Gila,Molina,Behavioral Health,*,*,62,0.125,22.82051282,*,2021,Comprehensive MCO
Arizona,Gila,Mercy Care,Behavioral Health,143,448,81,0.319196429,23.18181818,2:01,2021,Comprehensive MCO
Arizona,Gila,Ltc Dd Des,Behavioral Health,89,135,62,0.659259259,278.5617978,2:01,2021,Comprehensive MCO
Arizona,Gila,Health Choice Arizona,Behavioral Health,645,"3,640",78,0.177197802,43.80930233,9:01,2021,Comprehensive MCO
Arizona,Gila,Az Complete Health,Behavioral Health,92,638,75,0.144200627,13.38043478,2:01,2021,Comprehensive MCO
Arizona,Gila,Dcs/Chp,Behavioral Health,34,53,26,0.641509434,33.67647059,2:01,2021,Comprehensive MCO
Arizona,Gila,Care1st,Behavioral Health,16,111,73,0.144144144,58.625,1:05,2021,Comprehensive MCO
Arizona,Gila,Banner University Family Care,Behavioral Health,319,"2,935",76,0.108688245,29.50470219,5:01,2021,Comprehensive MCO
Arizona,Gila,United Healthcare,Behavioral Health,102,871,79,0.117106774,28.95098039,2:01,2022,Comprehensive MCO
Arizona,Gila,Phoenix Hp,Behavioral Health,*,*,0,0,,*,2022,Comprehensive MCO
Arizona,Gila,Molina,Behavioral Health,51,395,55,0.129113924,24.41176471,1:02,2022,Comprehensive MCO
Arizona,Gila,Mercy Care,Behavioral Health,361,"1,189",80,0.303616484,25.67036011,5:01,2022,Comprehensive MCO
Arizona,Gila,Ltc Dd Des,Behavioral Health,103,157,62,0.656050955,249.4174757,2:01,2022,Comprehensive MCO
Arizona,Gila,Health Choice Arizona,Behavioral Health,707,"4,344",73,0.162753223,39.89957567,10:01,2022,Comprehensive MCO
Arizona,Gila,Dcs/Chp,Behavioral Health,*,*,26,0.53968254,26.58823529,*,2022,Comprehensive MCO
Arizona,Gila,Care1st,Behavioral Health,*,*,59,0.133333333,4.833333333,*,2022,Comprehensive MCO
Arizona,Gila,Banner University Family Care,Behavioral Health,358,"3,475",79,0.103021583,30.75698324,5:01,2022,Comprehensive MCO
Arizona,Gila,Az Complete Health,Behavioral Health,119,907,77,0.131201764,17.16806723,2:01,2022,Comprehensive MCO
Arizona,Gila,United Healthcare,Behavioral Health,148,"1,251",79,0.118305356,32.12162162,2:01,2023,Comprehensive MCO
Arizona,Gila,Ltc Dd Des,Behavioral Health,112,177,57,0.632768362,266.0089286,2:01,2023,Comprehensive MCO
Arizona,Gila,Mercy Care,Behavioral Health,646,"1,936",79,0.333677686,55.64860681,9:01,2023,Comprehensive MCO
Arizona,Gila,Molina,Behavioral Health,54,501,55,0.107784431,25.64814815,1:02,2023,Comprehensive MCO
Arizona,Gila,Health Choice Arizona,Behavioral Health,509,"4,424",75,0.11505425,35.49312377,7:01,2023,Comprehensive MCO
Arizona,Gila,Dcs/Chp,Behavioral Health,70,109,22,0.642201835,30.8,4:01,2023,Comprehensive MCO
Arizona,Gila,Care1st,Behavioral Health,29,73,62,0.397260274,28.82758621,1:03,2023,Comprehensive MCO
Arizona,Gila,Banner University Family Care,Behavioral Health,474,"4,304",77,0.110130112,27.98101266,7:01,2023,Comprehensive MCO
Arizona,Gila,Az Complete Health,Behavioral Health,174,"1,315",75,0.132319392,19.52873563,3:01,2023,Comprehensive MCO
Arizona,Gila,Molina,Behavioral Health,63,514,51,0.122568093,30.65079365,2:01,2024,Comprehensive MCO
Arizona,Gila,Mercy Care,Behavioral Health,817,"14,327",84,0.057025197,46.83108935,10:01,2024,Comprehensive MCO
Arizona,Gila,Ltc Dd Des,Behavioral Health,138,205,52,0.673170732,262.5144928,3:01,2024,Comprehensive MCO
Arizona,Gila,United Healthcare,Behavioral Health,218,"1,529",75,0.142576848,42.99541284,3:01,2024,Comprehensive MCO
Arizona,Gila,Health Choice Arizona,Behavioral Health,613,"4,549",72,0.134754891,33.32300163,9:01,2024,Comprehensive MCO
Arizona,Gila,Dcs/Chp,Behavioral Health,111,162,27,0.685185185,34.75675676,5:01,2024,Comprehensive MCO
Arizona,Gila,Banner University Family Care,Behavioral Health,484,"4,327",74,0.111855789,27.90909091,7:01,2024,Comprehensive MCO
Arizona,Gila,Care1st,Behavioral Health,32,163,54,0.196319018,32.71875,1:02,2024,Comprehensive MCO
Arizona,Gila,Az Complete Health,Behavioral Health,242,"1,679",80,0.144133413,36.23966942,4:01,2024,Comprehensive MCO
Arizona,Graham,United Healthcare,Behavioral Health,*,*,60,0.1,46.33333333,*,2020,Comprehensive MCO
Arizona,Graham,Molina,Behavioral Health,*,*,17,0.4,18,*,2020,Comprehensive MCO
Arizona,Graham,Mercy Care,Behavioral Health,26,47,45,0.553191489,13.65384615,1:02,2020,Comprehensive MCO
Arizona,Graham,Ltc Dd Des,Behavioral Health,66,111,60,0.594594595,223.2424242,2:01,2020,Comprehensive MCO
Arizona,Graham,Health Choice Arizona,Behavioral Health,*,*,31,0.46,12.56521739,*,2020,Comprehensive MCO
Arizona,Graham,Dcs/Chp,Behavioral Health,*,*,1,0.055555556,3,*,2020,Comprehensive MCO
Arizona,Graham,Care1st,Behavioral Health,*,*,24,0.222222222,8.5,*,2020,Comprehensive MCO
Arizona,Graham,Az Complete Health,Behavioral Health,350,"4,292",67,0.081547064,45.70571429,6:01,2020,Comprehensive MCO
Arizona,Graham,Banner University Family Care,Behavioral Health,285,"2,720",59,0.104779412,45.78596491,5:01,2020,Comprehensive MCO
Arizona,Graham,United Healthcare,Behavioral Health,*,*,71,0.1,9.5,*,2021,Comprehensive MCO
Arizona,Graham,Molina,Behavioral Health,*,*,23,0,,*,2021,Comprehensive MCO
Arizona,Graham,Mercy Care,Behavioral Health,*,*,49,0.454545455,8.48,*,2021,Comprehensive MCO
Arizona,Graham,Ltc Dd Des,Behavioral Health,104,156,54,0.666666667,227.1153846,2:01,2021,Comprehensive MCO
Arizona,Graham,Health Choice Arizona,Behavioral Health,*,*,43,0.590361446,2.795918367,*,2021,Comprehensive MCO
Arizona,Graham,Dcs/Chp,Behavioral Health,*,*,27,0.384615385,25.2,*,2021,Comprehensive MCO
Arizona,Graham,Children's Rehabilitative Services (Crs),Behavioral Health,*,*,0,0,,*,2021,Comprehensive MCO
Arizona,Graham,Care1st,Behavioral Health,*,*,24,0.111111111,3,*,2021,Comprehensive MCO
Arizona,Graham,Az Complete Health,Behavioral Health,473,"5,501",77,0.085984366,35.86892178,7:01,2021,Comprehensive MCO
Arizona,Graham,Banner University Family Care,Behavioral Health,306,"3,124",75,0.097951344,51.91176471,5:01,2021,Comprehensive MCO
Arizona,Graham,United Healthcare,Behavioral Health,*,*,78,0.109090909,8.833333333,*,2022,Comprehensive MCO
Arizona,Graham,Molina,Behavioral Health,*,*,19,0,,*,2022,Comprehensive MCO
Arizona,Graham,Mercy Care,Behavioral Health,51,124,58,0.411290323,3.725490196,1:02,2022,Comprehensive MCO
Arizona,Graham,Ltc Dd Des,Behavioral Health,116,170,67,0.682352941,245.6810345,2:01,2022,Comprehensive MCO
Arizona,Graham,Health Choice Arizona,Behavioral Health,*,*,40,0.157142857,2,*,2022,Comprehensive MCO
Arizona,Graham,Dcs/Chp,Behavioral Health,*,*,32,0.37037037,21.7,*,2022,Comprehensive MCO
Arizona,Graham,Care1st,Behavioral Health,*,*,27,0.111111111,1,*,2022,Comprehensive MCO
Arizona,Graham,Banner University Family Care,Behavioral Health,394,"4,063",85,0.09697268,46.95431472,5:01,2022,Comprehensive MCO
Arizona,Graham,Az Complete Health,Behavioral Health,575,"7,199",89,0.079872204,36.07826087,7:01,2022,Comprehensive MCO
Arizona,Graham,United Healthcare,Behavioral Health,*,*,79,0.05,1,*,2023,Comprehensive MCO
Arizona,Graham,Molina,Behavioral Health,*,*,20,0.25,13.5,*,2023,Comprehensive MCO
Arizona,Graham,Mercy Care,Behavioral Health,115,291,55,0.395189003,10.42608696,3:01,2023,Comprehensive MCO
Arizona,Graham,Health Choice Arizona,Behavioral Health,*,*,44,0.14,28.85714286,*,2023,Comprehensive MCO
Arizona,Graham,Dcs/Chp,Behavioral Health,*,*,36,0.535714286,43.5,*,2023,Comprehensive MCO
Arizona,Graham,Care1st,Behavioral Health,*,*,25,0.2,12,*,2023,Comprehensive MCO
Arizona,Graham,Banner University Family Care,Behavioral Health,510,"5,122",99,0.09957048,52.05098039,6:01,2023,Comprehensive MCO
Arizona,Graham,Ltc Dd Des,Behavioral Health,127,193,60,0.658031088,236.3700787,3:01,2023,Comprehensive MCO
Arizona,Graham,Az Complete Health,Behavioral Health,724,"9,989",99,0.072479728,35.74861878,8:01,2023,Comprehensive MCO
Arizona,Graham,United Healthcare,Behavioral Health,*,*,75,0.137931034,13.25,*,2024,Comprehensive MCO
Arizona,Graham,Molina,Behavioral Health,*,*,31,0,,*,2024,Comprehensive MCO
Arizona,Graham,Mercy Care,Behavioral Health,127,806,63,0.157568238,9.874015748,3:01,2024,Comprehensive MCO
Arizona,Graham,Ltc Dd Des,Behavioral Health,142,219,64,0.648401826,181.9577465,3:01,2024,Comprehensive MCO
Arizona,Graham,Dcs/Chp,Behavioral Health,*,*,32,0.452380952,50.73684211,*,2024,Comprehensive MCO
Arizona,Graham,Care1st,Behavioral Health,*,*,20,0.033333333,16.33333333,*,2024,Comprehensive MCO
Arizona,Graham,Banner University Family Care,Behavioral Health,652,"5,764",96,0.113115892,53.53220859,7:01,2024,Comprehensive MCO
Arizona,Graham,Health Choice Arizona,Behavioral Health,*,*,39,0.149253731,25.9,*,2024,Comprehensive MCO
Arizona,Graham,Az Complete Health,Behavioral Health,993,"19,256",96,0.051568342,35.57905337,11:01,2024,Comprehensive MCO
